Function,Min Sampling Rate (%),Max Sampling Rate (%),Average Sampling Rate (%)
alloc_skb_with_frags,0.22,0.34,0.2756999999999999
__memcmp_sse4_1,0.21,0.33,0.27199999999999996
Item_func_between::fix_fields,0.21,0.33,0.27000000000000013
btr_cur_latch_leaves,0.0,0.45,0.26989999999999986
PTI_comp_op::itemize,0.22,0.34,0.268
__alloc_skb,0.2,0.33,0.2651
buf_flush_page,0.08,0.46,0.2639000000000001
Optimize_table_order::best_extension_by_limited_search,0.21,0.32,0.2630999999999999
blk_done_softirq,0.2,0.33,0.26180000000000003
ConnectJoins,0.2,0.31,0.2617999999999999
THD::decide_logging_format,0.2,0.32,0.26049999999999995
PTI_expr_with_alias::itemize,0.22,0.35,0.26049999999999984
dict_index_copy_types,0.21,0.32,0.259
rec_init_offsets_comp_ordinary,0.21,0.32,0.25819999999999993
virtblk_request_done,0.19,0.32,0.258
blk_mq_end_request,0.18,0.33,0.2529000000000002
ha_innobase::innobase_get_index,0.2,0.33,0.25149999999999995
Log_file_handle::fsync,0.22,0.29,0.2464
__strlen_sse2_pminub,0.18,0.34,0.24589999999999995
__vdso_clock_gettime,0.17,0.3,0.2452
Fil_shard::space_extend,0.12,0.29,0.24460000000000012
file_update_time,0.17,0.3,0.23960000000000015
dblwr::write,0.07,0.43,0.23879999999999993
__mark_inode_dirty,0.18,0.29,0.23790000000000003
trx_prepare_for_mysql,0.16,0.45,0.2358999999999999
init_table_iterator,0.18,0.3,0.23480000000000012
update_time,0.17,0.29,0.2329000000000001
MYSQL_BIN_LOG::change_stage,0.19,0.29,0.23290000000000005
ext4_dirty_inode,0.17,0.29,0.23230000000000003
net_flush,0.18,0.29,0.23209999999999997
ha_innobase::store_lock,0.17,0.31,0.23170000000000004
LEX::reset,0.16,0.29,0.23120000000000013
my_net_write,0.18,0.3,0.2304000000000001
check_stack_overrun,0.18,0.34,0.2302999999999999
lock_clust_rec_read_check_and_lock,0.17,0.32,0.2280000000000001
binlog_cache_data::write_event,0.17,0.28,0.22760000000000008
"std::_Hashtable<std::string, std::pair<std::string const, std::unique_ptr<Session_sysvars_tracker::sysvar_node_st, My_free_deleter> >, Malloc_allocator<std::pair<std::string const, std::unique_ptr<Session_sysvars_tracker::sysvar_node_st, My_free_deleter> > >, std::__detail::_Select1st, Collation_key_equal, Collation_hasher, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<true, false, true> >::_M_find_before_node",0.18,0.3,0.22750000000000004
Double_write::enqueue,0.06,0.42,0.2274999999999999
mysql_audit_acquire_plugins,0.16,0.3,0.2274000000000001
MYSQL_BIN_LOG::flush_thread_caches,0.17,0.28,0.22740000000000005
kfree_skbmem,0.15,0.37,0.22620000000000015
thd_to_trx,0.15,0.31,0.22610000000000002
sysret_audit,0.17,0.28,0.22549999999999992
mysql_unlock_read_tables,0.16,0.28,0.22500000000000003
Query_block::apply_local_transforms,0.15,0.29,0.21979999999999988
binlog_cache_data::flush,0.15,0.26,0.2185000000000001
Lex_input_stream::add_digest_token,0.18,0.28,0.21719999999999992
free,0.17,0.26,0.21080000000000015
check_one_table_access,0.16,0.27,0.21030000000000007
instantiate_tmp_table,0.16,0.27,0.2099000000000001
__fdget,0.15,0.28,0.20889999999999997
fil_aio_wait,0.06,0.31,0.20860000000000004
__fget_light,0.14,0.27,0.2065000000000001
operator new,0.15,0.28,0.2058000000000001
PT_insert::make_cmd,0.14,0.28,0.2047000000000001
statement_id_to_session,0.16,0.26,0.20390000000000008
Sql_cmd_insert_base::prepare_inner,0.16,0.25,0.20100000000000015
__check_object_size,0.15,0.26,0.19810000000000008
Write_rows_log_event::binlog_row_logging_function,0.15,0.24,0.19800000000000006
skb_copy_datagram_from_iovec,0.14,0.24,0.19790000000000016
__audit_syscall_exit,0.16,0.26,0.19759999999999991
Table_map_log_event::Table_map_log_event,0.15,0.26,0.19729999999999998
cmp_data,0.14,0.26,0.19680000000000003
handler::ha_reset,0.15,0.25,0.19599999999999995
ib_log_fl_notif,0.18,0.22,0.19580000000000003
Fil_shard::space_flush,0.08,0.26,0.19460000000000005
dd::cache::Dictionary_client::commit_modified_objects,0.15,0.28,0.19379999999999994
kmem_cache_free,0.12,0.3,0.19349999999999998
check_single_table_access,0.15,0.25,0.19320000000000007
log_flush_notifier,0.18,0.22,0.19309999999999988
Item_bool_func2::resolve_type,0.14,0.23,0.19070000000000012
Item::Item,0.14,0.25,0.19059999999999985
ib_log_wr_notif,0.18,0.21,0.19039999999999996
log_write_notifier,0.17,0.21,0.1887999999999999
net_write_packet,0.15,0.23,0.18730000000000005
QEP_TAB::cleanup,0.13,0.24,0.1867000000000001
THD::binlog_write_row,0.14,0.23,0.18650000000000008
MYSQL_BIN_LOG::write_transaction,0.13,0.23,0.18479999999999996
Optimize_table_order::best_access_path,0.14,0.24,0.18430000000000002
Item::itemize,0.14,0.24,0.18290000000000003
trx_assign_read_view,0.05,0.43,0.18160000000000004
Item_field::set_field,0.13,0.24,0.1787
TABLE::init,0.12,0.25,0.17840000000000011
ext4_da_write_begin,0.12,0.23,0.1733
lock_trx_release_locks,0.1,0.24,0.17329999999999998
Item::save_in_field,0.13,0.22,0.17319999999999997
Query_block::Query_block,0.13,0.23,0.1728000000000001
pthread_cond_wait@@GLIBC_2.3.2,0.12,0.23,0.1723
sockfd_lookup_light,0.12,0.24,0.16990000000000005
JOIN::JOIN,0.13,0.22,0.16980000000000006
buf_page_io_complete,0.05,0.26,0.16949999999999993
Sql_cmd_delete::prepare_inner,0.12,0.21,0.1684
MVCC::view_open,0.03,0.42,0.16820000000000002
Item_func::compile,0.11,0.21,0.16670000000000004
thd_to_innodb_session,0.11,0.23,0.16610000000000003
JOIN::get_best_combination,0.1,0.21,0.16580000000000003
std::string::_Rep::_S_create,0.11,0.21,0.1636000000000001
skb_release_data,0.1,0.24,0.1631
row_upd_step,0.03,0.31,0.16110000000000008
Protocol_classic::net_store_data_with_conversion,0.11,0.21,0.16000000000000006
ha_innobase::update_row,0.02,0.31,0.15980000000000005
handler::ha_update_row,0.02,0.31,0.15970000000000006
operator delete,0.12,0.21,0.15850000000000009
PT_item_list::contextualize,0.11,0.21,0.15850000000000006
trx_set_rw_mode,0.05,0.46,0.15629999999999988
Query_block::setup_tables,0.12,0.21,0.1560000000000001
Double_write::write_complete,0.05,0.25,0.1558
JOIN::cleanup,0.11,0.21,0.15510000000000013
blk_update_request,0.11,0.21,0.1551000000000001
pfs_memory_free_vc,0.11,0.2,0.15450000000000005
insert_events_statements_history,0.11,0.2,0.15430000000000008
my_timer_cycles,0.1,0.2,0.15310000000000015
lf_dynarray_lvalue,0.11,0.2,0.15200000000000016
sock_poll,0.11,0.21,0.15180000000000013
Item_field::used_tables,0.1,0.21,0.15090000000000012
find_field_in_table,0.11,0.18,0.14990000000000014
btr_pcur_t::store_position,0.11,0.2,0.1498000000000001
Session_tracker::get_tracker,0.1,0.19,0.14830000000000004
my_convert,0.1,0.19,0.14810000000000004
get_and_lock_tablespace_names,0.1,0.2,0.1449000000000001
Fil_system::flush_file_spaces,0.05,0.23,0.14450000000000005
Fil_shard::flush_file_spaces,0.05,0.23,0.14320000000000005
pfs_rebind_table_v1,0.1,0.19,0.1416000000000001
bio_endio,0.09,0.19,0.14160000000000006
tree_and,0.1,0.19,0.14150000000000007
mtr_t::s_lock,0.1,0.19,0.1412000000000001
mtr_t::Command::execute,0.11,0.19,0.14110000000000014
Security_context::check_access,0.09,0.18,0.14070000000000008
ext4_mark_inode_dirty,0.1,0.18,0.14020000000000013
MEM_ROOT::ClearForReuse,0.1,0.18,0.13990000000000005
JOIN::optimize_distinct_group_order,0.1,0.19,0.13960000000000003
digest_add_token,0.1,0.19,0.13920000000000005
temptable::Handler::create,0.09,0.19,0.1385
get_cached_schema_access,0.1,0.19,0.13830000000000006
store_key::copy,0.1,0.18,0.13790000000000005
Double_write::write_data_pages,0.03,0.21,0.1376000000000001
ktime_get_ts64,0.09,0.18,0.13750000000000007
Double_write::write_to_datafile,0.03,0.21,0.1370000000000001
rec_init_offsets,0.1,0.18,0.13620000000000004
invoke_pre_parse_rewrite_plugins,0.1,0.19,0.13550000000000006
JOIN::finalize_table_conditions,0.1,0.19,0.13520000000000007
Protocol_classic::start_result_metadata,0.08,0.18,0.13500000000000004
"std::__stable_sort_adaptive<Key_use*, Key_use*, long, __gnu_cxx::__ops::_Iter_comp_iter<bool",0.1,0.18,0.13330000000000006
PROFILING::start_new_query,0.08,0.18,0.13269999999999996
net_field_length_size,0.09,0.18,0.13220000000000004
PTI_text_literal_text_string::itemize,0.09,0.19,0.13210000000000008
check_grant,0.08,0.2,0.13110000000000002
pfs_start_idle_wait_v1,0.08,0.17,0.13070000000000007
Arg_comparator::set_cmp_func,0.09,0.19,0.13049999999999995
fil_io,0.04,0.19,0.13040000000000002
Optimize_table_order::calculate_scan_cost,0.1,0.2,0.12919999999999995
MEM_ROOT::FreeBlocks,0.08,0.17,0.12570000000000006
Fil_shard::do_io,0.04,0.18,0.12390000000000001
THD::reset_for_next_command,0.08,0.17,0.12389999999999995
setup_tmp_table_handler,0.08,0.17,0.12359999999999997
Item_basic_constant::used_tables,0.08,0.16,0.12319999999999995
LEX::create_query_expr_and_block,0.08,0.18,0.12319999999999993
thd_ha_data,0.08,0.17,0.1228
Item_field::itemize,0.09,0.15,0.12279999999999994
temptable::Table::Table,0.08,0.16,0.12239999999999998
lock_wait_timeout_thread,0.0,0.2,0.12189999999999995
__ext4_journal_start_sb,0.08,0.17,0.12189999999999994
row_sel_convert_mysql_key_to_innobase,0.08,0.17,0.12120000000000004
lock_rec_insert_check_and_lock,0.06,0.19,0.11990000000000006
__slab_free,0.07,0.19,0.11989999999999998
kvm_clock_get_cycles,0.07,0.16,0.11989999999999996
trx_undo_set_state_at_prepare,0.07,0.16,0.11880000000000003
Item_field::type,0.09,0.16,0.1185
std::__detail::_Prime_rehash_policy::_M_next_bkt,0.08,0.18,0.11849999999999992
open_temporary_tables,0.09,0.16,0.11809999999999993
Table_cache::release_table,0.08,0.15,0.11739999999999991
ib_srv_lock_to,0.01,0.19,0.11730000000000006
Query_expression::Query_expression,0.07,0.16,0.11629999999999999
kfree,0.07,0.15,0.11549999999999999
MYSQL_BIN_LOG::write_cache,0.08,0.14,0.11549999999999992
__pthread_disable_asynccancel,0.08,0.15,0.11489999999999996
vfprintf,0.07,0.15,0.11479999999999999
THD::binlog_query,0.08,0.16,0.11399999999999995
Item_func::type,0.08,0.16,0.11369999999999995
GetTableAccessPath,0.08,0.15,0.11299999999999992
get_best_skip_scan,0.08,0.15,0.11279999999999996
store_key::copy_inner,0.07,0.14,0.11209999999999994
Query_block::term_type,0.07,0.15,0.11199999999999992
Item::save_in_field_no_warnings,0.08,0.15,0.11159999999999996
get_new_handler,0.07,0.16,0.11159999999999995
unix_poll,0.08,0.15,0.11149999999999992
poll_select_set_timeout,0.08,0.14,0.11019999999999992
Binlog_event_writer::write,0.07,0.14,0.10959999999999993
jbd2__journal_start,0.06,0.15,0.10959999999999992
row_sel_store_mysql_rec,0.07,0.15,0.10949999999999996
MYSQL_BIN_LOG::do_write_cache,0.08,0.14,0.10929999999999992
pfs_set_thread_info_vc,0.07,0.15,0.10919999999999996
