Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
1,NewOrder,1763085042.570540,15421,14,1
2,Payment,1763085042.570541,6797,6,1
1,NewOrder,1763085042.570571,16423,7,1
2,Payment,1763085042.570571,6764,5,1
1,NewOrder,1763085042.574479,13113,8,1
1,NewOrder,1763085042.574494,12236,1,1
1,NewOrder,1763085042.574500,11245,4,1
1,NewOrder,1763085042.574505,10859,9,1
1,NewOrder,1763085042.574522,12545,10,1
1,NewOrder,1763085042.577236,53551,2,1
2,Payment,1763085042.577346,9177,5,1
2,Payment,1763085042.577347,9054,6,1
1,NewOrder,1763085042.577390,53391,12,1
1,NewOrder,1763085042.577423,31974,15,1
2,Payment,1763085042.582724,26667,11,1
1,NewOrder,1763085042.582748,59772,3,1
2,Payment,1763085042.582758,26639,0,1
1,NewOrder,1763085042.585370,49396,9,1
1,NewOrder,1763085042.585753,56855,4,1
1,NewOrder,1763085042.585969,48825,14,1
1,NewOrder,1763085042.586410,48372,6,1
1,NewOrder,1763085042.586548,48224,5,1
1,NewOrder,1763085042.586740,48026,1,1
1,NewOrder,1763085042.587002,47776,7,1
2,Payment,1763085042.587076,43711,10,1
1,NewOrder,1763085042.587600,47177,8,1
2,Payment,1763085042.593677,37213,13,1
5,StockLevel,1763085042.609403,22862,11,1
2,Payment,1763085042.609410,23502,0,1
2,Payment,1763085042.609410,23495,15,1
1,NewOrder,1763085042.630796,15059,12,1
2,Payment,1763085042.630809,9272,2,1
1,NewOrder,1763085042.630811,13808,10,1
1,NewOrder,1763085042.630897,14975,13,1
2,Payment,1763085042.632275,10264,11,1
2,Payment,1763085042.632913,9697,15,1
1,NewOrder,1763085042.632920,11694,0,1
1,NewOrder,1763085042.634777,11838,9,1
1,NewOrder,1763085042.634777,13891,1,1
5,StockLevel,1763085042.634783,3190,5,1
2,Payment,1763085042.634786,7754,7,1
1,NewOrder,1763085042.634791,10247,8,1
1,NewOrder,1763085042.634792,31548,6,1
1,NewOrder,1763085042.634801,11815,14,1
2,Payment,1763085042.637981,4564,5,1
2,Payment,1763085042.640091,7233,2,1
3,OrderStatus,1763085042.642528,946,3,1
1,NewOrder,1763085042.642553,29179,11,1
3,OrderStatus,1763085042.642553,1288,7,1
2,Payment,1763085042.642556,6123,5,1
2,Payment,1763085042.642615,6150,4,1
2,Payment,1763085042.642622,6040,15,1
4,Delivery,1763085042.643481,36479,3,1
2,Payment,1763085042.643852,22464,7,1
2,Payment,1763085042.644624,21707,0,1
2,Payment,1763085042.644637,21686,10,1
1,NewOrder,1763085042.645047,26634,8,1
1,NewOrder,1763085042.645866,25790,12,1
2,Payment,1763085042.645877,20457,13,1
1,NewOrder,1763085042.646636,27041,9,1
1,NewOrder,1763085042.646636,24987,14,1
